id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
27188,ZBAA,large_airport,Beijing Capital International Airport,40.08010101,116.5849991,116,AS,CN,CN-11,Beijing,1,ZBAA,PEK,,http://en.bcia.com.cn/,http://en.wikipedia.org/wiki/Beijing_Capital_International_Airport,"BJS, Bejing, Peking, Olympics",1021575,2008-06-13T14:30:04+00:00
27223,ZSPD,large_airport,Shanghai Pudong International Airport,31.14340019,121.8050003,13,AS,CN,CN-31,Shanghai,1,ZSPD,PVG,,,http://en.wikipedia.org/wiki/Shanghai_Pudong_International_Airport,,51150,2009-01-30T18:17:35+00:00
27225,ZSSS,large_airport,Shanghai Hongqiao International Airport,31.19790077,121.3359985,10,AS,CN,CN-31,Shanghai,1,ZSSS,SHA,,,http://en.wikipedia.org/wiki/Shanghai_Hongqiao_International_Airport,,1016175,2009-04-17T07:36:16+00:00
27194,ZGGG,large_airport,Guangzhou Baiyun International Airport,23.39240074,113.2990036,50,AS,CN,CN-44,Guangzhou,1,ZGGG,CAN,,http://www.baiyunairport.com/english/index.jsp,http://en.wikipedia.org/wiki/Guangzhou_Baiyun_International_Airport,,51575,2008-06-13T14:30:04+00:00
27205,ZLXY,large_airport,Xi'an Xianyang International Airport,34.447102,108.751999,1572,AS,CN,CN-61,Xi'an,1,ZLXY,XIY,,http://www.xxia.com/,http://en.wikipedia.org/wiki/Xi'an_Xianyang_International_Airport,"西安咸阳国际机场, Xian",51200,2017-08-14T22:26:31+00:00
27198,ZGSZ,large_airport,Shenzhen Bao'an International Airport,22.63929939,113.810997,13,AS,CN,CN-44,Shenzhen,1,ZGSZ,SZX,,http://eng.szairport.com/,http://en.wikipedia.org/wiki/Shenzhen_Bao'an_International_Airport,"Baoan, Huangtian Airport",51200,2009-04-17T07:34:37+00:00
27230,ZUUU,large_airport,Chengdu Shuangliu International Airport,30.57850075,103.9469986,1625,AS,CN,CN-51,Chengdu,1,ZUUU,CTU,,http://www.cdairport.com/cdairport/en_front/index.jsp,http://en.wikipedia.org/wiki/Chengdu_Shuangliu_International_Airport,成都双流国际机场,51150,2009-01-30T17:48:14+00:00
27214,ZPPP,large_airport,Kunming Changshui International Airport,25.1019444,102.9291667,6903,AS,CN,CN-53,Kunming,1,ZPPP,KMG,,,https://en.wikipedia.org/wiki/Kunming_Changshui_International_Airport,,51150,2015-07-02T15:02:50+00:00
27200,ZHHH,large_airport,Wuhan Tianhe International Airport,30.7838,114.208,113,AS,CN,CN-42,Wuhan,1,ZHHH,WUH,,http://www.whairport.com/,http://en.wikipedia.org/wiki/Wuhan_Tianhe_International_Airport,,1050,2017-05-31T21:04:20+00:00
27215,ZSAM,large_airport,Xiamen Gaoqi International Airport,24.54400063,118.1279984,59,AS,CN,CN-35,Xiamen,1,ZSAM,XMN,,http://www.xiagc.com.cn/enweb/,http://en.wikipedia.org/wiki/Xiamen_Gaoqi_International_Airport,厦门高崎国际机场,51200,2009-01-30T18:22:16+00:00
27218,ZSHC,large_airport,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,23,AS,CN,CN-33,Hangzhou,1,ZSHC,HGH,,http://www.hzairport.com/,http://en.wikipedia.org/wiki/Hangzhou_Xiaoshan_International_Airport,"Hang Zhou, 杭州萧山国际机场",1050,2009-04-17T07:32:06+00:00
27196,ZGKL,large_airport,Guilin Liangjiang International Airport,25.21809959,110.0390015,570,AS,CN,CN-45,Guilin City,1,ZGKL,KWL,,,http://en.wikipedia.org/wiki/Guilin_Liangjiang_International_Airport,,1050,2009-04-16T22:26:33+00:00
27228,ZUCK,large_airport,Chongqing Jiangbei International Airport,29.71920013,106.6419983,1365,AS,CN,CN-50,Chongqing,1,ZUCK,CKG,,,http://en.wikipedia.org/wiki/Chongqing_Jiangbei_International_Airport,,800,2009-04-17T07:30:21+00:00
27242,ZYTL,large_airport,Zhoushuizi Airport,38.96569824,121.5390015,107,AS,CN,CN-21,Dalian,1,ZYTL,DLC,,,http://en.wikipedia.org/wiki/Dalian_Zhoushuizi_International_Airport,Dalian Air Base,800,2009-04-16T22:31:19+00:00
27224,ZSQD,medium_airport,Liuting Airport,36.26610184,120.3740005,33,AS,CN,CN-37,Qingdao,1,ZSQD,TAO,,,http://en.wikipedia.org/wiki/Qingdao_Liuting_International_Airport,,800,2010-08-30T12:41:36+00:00
27192,ZBTJ,large_airport,Tianjin Binhai International Airport,39.12440109,117.3460007,10,AS,CN,CN-12,Tianjin,1,ZBTJ,TSN,,,http://en.wikipedia.org/wiki/Tianjin_Binhai_International_Airport,,1050,2010-08-29T23:10:48+00:00
27221,ZSNJ,large_airport,Nanjing Lukou Airport,31.74200058,118.8619995,49,AS,CN,CN-32,Nanjing,1,ZSNJ,NKG,,,http://en.wikipedia.org/wiki/Nanjing_Lukou_International_Airport,,800,2009-04-17T07:25:34+00:00
27219,ZSJN,large_airport,Yaoqiang Airport,36.85720062,117.2160034,76,AS,CN,CN-37,Jinan,1,ZSJN,TNA,,,http://en.wikipedia.org/wiki/Jinan_Yaoqiang_Airport,,1050,2009-04-16T22:24:56+00:00
31828,ZPLJ,medium_airport,Lijiang Airport,26.68000031,100.2460022,,AS,CN,CN-53,Lijiang,1,ZPLJ,LJG,,,http://en.wikipedia.org/wiki/Lijiang_Sanyi_Airport,Yunlong Air Base,450,2011-10-12T09:56:54+00:00
27199,ZHCC,large_airport,Zhengzhou Xinzheng International Airport,34.5196991,113.8410034,495,AS,CN,CN-41,Zhengzhou,1,ZHCC,CGO,,,http://en.wikipedia.org/wiki/Zhengzhou_Xinzheng_International_Airport,Xinzheng Airport,1050,2015-02-17T13:47:05+00:00
27238,ZYHB,large_airport,Taiping Airport,45.62340164,126.25,457,AS,CN,CN-23,Harbin,1,ZYHB,HRB,,,http://en.wikipedia.org/wiki/Harbin_Taiping_International_Airport,,800,2009-04-16T22:25:41+00:00
27236,ZWWW,large_airport,Ürümqi Diwopu International Airport,43.90710068,87.47419739,2125,AS,CN,CN-65,Ürümqi,1,ZWWW,URC,,,http://en.wikipedia.org/wiki/%C3%9Cr%C3%BCmqi_Diwopu_International_Airport,,800,2009-04-16T22:29:21+00:00
